Date,Open,High,Low,Close,Adj Close,Volume
2022-08-24,93900.000000,94200.000000,93000.000000,93200.000000,92855.664063,1447036
2022-08-25,93600.000000,94100.000000,92100.000000,94100.000000,93752.335938,2189458
2022-08-26,95400.000000,96800.000000,94700.000000,95100.000000,94748.640625,2301949
2022-08-29,92700.000000,93300.000000,92000.000000,92500.000000,92158.250000,2619260
2022-08-30,92700.000000,93400.000000,92400.000000,93200.000000,92855.664063,1595242
2022-08-31,92600.000000,95500.000000,92100.000000,95200.000000,94848.273438,2421669
2022-09-01,93900.000000,93900.000000,92300.000000,92400.000000,92058.617188,2337521
2022-09-02,92700.000000,93300.000000,91600.000000,91700.000000,91361.203125,2036818
2022-09-05,91800.000000,92400.000000,90400.000000,91100.000000,90763.421875,1706148
2022-09-06,91900.000000,92900.000000,91100.000000,91800.000000,91460.835938,1389821
2022-09-07,91100.000000,91100.000000,89900.000000,90400.000000,90066.007813,2053413
2022-09-08,90500.000000,91000.000000,90000.000000,90400.000000,90066.007813,2012123
2022-09-13,91700.000000,95200.000000,91700.000000,94800.000000,94449.750000,3288428
2022-09-14,91700.000000,93400.000000,91300.000000,93000.000000,92656.406250,2444928
2022-09-15,92900.000000,93000.000000,91500.000000,92000.000000,91660.093750,1755820
2022-09-16,90900.000000,91400.000000,90000.000000,91200.000000,90863.054688,2243179
2022-09-19,90800.000000,91500.000000,90000.000000,90000.000000,89667.484375,2078633
2022-09-20,89000.000000,90600.000000,87500.000000,88000.000000,87674.875000,4259789
2022-09-21,87500.000000,88500.000000,86300.000000,88000.000000,87674.875000,2954420
2022-09-22,86300.000000,86900.000000,85900.000000,86000.000000,85682.265625,2204430
2022-09-23,85500.000000,86600.000000,83300.000000,83500.000000,83191.500000,3932242
2022-09-26,81500.000000,83200.000000,81500.000000,82500.000000,82195.195313,3281145
2022-09-27,82200.000000,82700.000000,80700.000000,82000.000000,81697.046875,2606333
2022-09-28,81900.000000,83500.000000,80500.000000,81200.000000,80900.000000,3068181
2022-09-29,82500.000000,82900.000000,80500.000000,80800.000000,80800.000000,2064798
2022-09-30,80900.000000,83900.000000,80400.000000,83100.000000,83100.000000,4711130
2022-10-04,85200.000000,87200.000000,85200.000000,86200.000000,86200.000000,4277404
2022-10-05,90000.000000,90400.000000,88100.000000,89800.000000,89800.000000,5927256
2022-10-06,90900.000000,92000.000000,89800.000000,89900.000000,89900.000000,3039698
2022-10-07,89600.000000,91800.000000,87800.000000,91200.000000,91200.000000,3100583
2022-10-11,89700.000000,91200.000000,88000.000000,90200.000000,90200.000000,3840842
